right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.391,7,9.8211,-0.308,-11.1642,0.2564,0.0485,0.0703,77,0.097,1,9.1954,-2.3707,-16.1081,0.2491,-1.2896,0.0259,51
0.443,8,9.7816,-0.4337,-11.0214,0.2197,0.0058,0.0533,77,0.149,2,8.3613,-2.4685,-15.9214,0.0651,-1.3301,0.1347,51
0.495,9,9.6943,-0.6809,-11.0779,0.166,-0.0361,0.0209,77,0.201,3,7.4596,-2.5412,-16.0693,0.0013,-1.2735,0.2089,51
0.546,10,9.6687,-0.6439,-11.1874,0.2414,-0.0513,-0.0098,77,0.253,4,6.456,-2.4254,-15.9865,-0.0089,-1.1822,0.2994,51
0.598,11,9.6866,-0.5307,-11.2381,0.1849,-0.0635,-0.0146,77,0.304,5,5.4461,-2.4188,-15.9011,-0.0612,-1.0215,0.3805,51
0.65,12,9.6745,-0.3845,-11.2325,0.1146,-0.0635,-0.0102,77,0.356,6,4.8575,-2.4086,-15.7412,-0.0263,-0.8541,0.4204,51
0.702,13,9.5253,-0.3916,-11.2429,0.0406,-0.0343,0.0107,77,0.408,7,4.4427,-2.4049,-15.7417,-0.0493,-0.6499,0.4084,51
0.754,14,9.4793,-0.7303,-11.3079,-0.0918,-0.0504,0.0305,77,0.46,8,4.2997,-2.477,-15.8252,-0.0125,-0.4453,0.3522,51
0.806,15,9.5161,-0.7814,-11.3487,-0.0769,-0.066,0.0244,77,0.512,9,4.2024,-2.5791,-15.9321,-0.0504,-0.2548,0.2815,51
0.857,16,9.6001,-0.7092,-11.3549,-0.1257,-0.0674,0.0395,77,0.563,10,4.0045,-2.6676,-15.9342,-0.0357,-0.1063,0.2207,51
0.909,17,9.5313,-0.859,-11.3371,-0.2031,-0.0754,0.0429,77,0.615,11,3.9283,-2.6028,-16.7547,-0.0175,0.0293,0.2137,51
0.961,18,9.4793,-1.0516,-11.3724,-0.1537,-0.1601,0.0027,77,0.667,12,4.2017,-3.0413,-17.1583,0.0274,0.0839,0.1637,51
1.013,19,9.5134,-0.7631,-11.6298,-0.0562,-0.1869,-0.0366,77,0.719,13,4.4078,-3.1863,-17.4827,0.0465,0.0475,0.1029,51
1.065,20,9.5134,-0.7308,-11.6279,-0.1157,-0.1724,-0.0297,77,0.77,14,4.5568,-3.3035,-17.6497,0.0603,-0.0051,0.0637,51
1.116,21,9.4391,-0.8937,-11.7731,-0.1672,-0.1824,-0.0288,77,0.822,15,4.6236,-3.2996,-17.6027,0.0679,-0.042,0.034,51
1.168,22,9.459,-0.8243,-11.9035,-0.1124,-0.1793,-0.0581,77,0.874,16,4.6137,-3.2263,-17.4545,0.0672,-0.0573,-0.0022,51
1.22,23,9.4407,-0.8317,-12.0174,-0.0192,-0.128,-0.0778,77,0.926,17,4.5809,-3.1208,-17.3265,0.0969,-0.0465,-0.0263,51
1.272,24,9.4145,-0.8004,-12.0378,0.0088,-0.0808,-0.0798,77,0.978,18,4.6172,-3.0436,-17.3825,0.0119,-0.0162,0.0054,51
1.324,25,9.4412,-0.6281,-12.1145,0.0452,-0.0267,-0.0796,77,1.029,19,4.6218,-3.0718,-17.5264,-0.004,-0.0048,0.0334,51
1.375,26,9.4189,-0.5585,-11.9653,-0.0143,-0.0035,-0.0488,77,1.081,20,4.5332,-3.0299,-17.4864,-0.0514,-0.0071,0.0869,51
1.427,27,9.325,-0.9979,-12.0712,0.0583,-0.0288,-0.0629,77,1.133,21,4.4012,-2.9747,-17.5063,-0.0675,-0.0161,0.1264,51
1.479,28,9.398,-0.9835,-12.1728,0.4817,0.0122,-0.1463,77,1.185,22,4.3397,-2.9184,-17.5608,-0.0919,-0.0476,0.1442,51
1.531,29,9.43,-0.2752,-12.1228,0.611,0.0594,-0.1324,77,1.236,23,4.598,-3.0512,-17.7242,-0.069,-0.1027,0.1288,51
1.582,30,9.4501,-0.305,-11.8335,0.4093,0.0953,-0.0561,77,1.288,24,4.6942,-3.1552,-17.7479,-0.0892,-0.1353,0.159,51
1.634,31,9.4086,-0.1873,-11.728,0.2282,0.0919,0.0156,77,1.34,25,4.48,-3.0804,-17.6116,-0.1018,-0.1358,0.1708,51
1.686,32,9.5125,-0.3647,-11.8109,0.2623,0.0782,0.0157,77,1.392,26,4.2755,-3.0799,-17.6344,-0.1504,-0.1192,0.1706,51
1.738,33,9.4745,-0.504,-11.7927,0.2952,0.0701,0.0005,77,1.444,27,4.1923,-3.1747,-17.6557,-0.1013,-0.1394,0.1219,51
1.79,34,9.5453,-0.3366,-11.7452,0.2623,0.0747,0.0238,77,1.495,28,4.175,-3.2596,-17.7694,-0.066,-0.164,0.0653,51
