right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.006,0,5.4828,0.1104,-10.588,0.473,0.562,-0.9965,90,0.097,1,3.0517,-1.2336,-15.8062,0.1239,-0.2946,0.5399,61
0.058,1,9.2673,-5.1564,-5.1435,0.0444,0.0332,-0.3369,90,0.149,2,2.4803,-1.8586,-15.4256,-0.2234,-0.8818,0.6758,61
0.109,2,12.0294,-0.2498,-9.2224,0.2501,-0.3446,0.0262,90,0.201,3,2.4091,-1.96,-13.3655,-0.806,-1.3104,0.9938,61
0.161,3,14.0045,0.3743,-11.6032,0.2342,0.0058,-0.213,90,0.253,4,5.7815,3.4407,-7.147,-1.2653,-1.5536,1.0276,61
0.213,4,15.124,-0.7518,-8.7118,-0.2758,0.6826,-0.7331,90,0.305,5,9.3369,-0.958,-10.3093,-0.3779,-1.5258,0.8944,61
0.265,5,10.5523,-5.7046,-14.3631,0.391,0.525,-0.4012,90,0.357,6,11.9318,0.2019,-11.1754,-0.197,-0.5166,0.5789,61
0.316,6,9.4602,-4.6419,-14.5033,0.3015,-0.2902,0.3778,90,0.408,7,8.6108,2.2058,-11.1824,0.5309,0.3068,0.4102,61
0.368,7,7.7402,-3.9779,-13.6588,0.1451,-0.8852,0.9521,90,0.46,8,7.2057,0.6218,-10.1092,1.0622,0.5504,-0.1624,61
0.42,8,6.4174,-2.2244,-12.0635,-0.0552,-1.3118,1.3632,90,0.512,9,6.7883,1.7243,-8.0055,0.6997,1.0033,-0.5486,61
0.472,9,4.7861,0.9964,-8.7386,-0.7155,-1.2561,1.5998,90,0.564,10,6.1457,1.6847,-8.4041,-0.1664,1.3554,-0.5779,61
0.524,10,8.7588,2.272,-5.5985,-0.2745,-0.7026,1.4879,90,0.616,11,5.1648,1.7643,-10.4116,-0.7985,1.3469,-0.3077,61
0.575,11,11.6583,0.2516,-9.4473,-0.2492,-0.5799,0.941,90,0.667,12,5.2751,1.6637,-15.58,-1.2276,1.2344,-0.1493,61
0.627,12,11.9142,-0.0009,-9.9219,-0.6532,0.1254,0.2675,90,0.719,13,8.9673,0.6417,-17.3531,-1.5731,1.0855,-0.5948,61
0.679,13,8.5647,2.1752,-9.5515,-0.0687,0.2472,-0.2987,90,0.771,14,9.5176,2.0319,-16.3778,-1.6415,0.888,-0.5571,61
0.731,14,8.0892,1.7901,-7.7888,0.0302,0.4078,-0.6498,90,0.823,15,9.5511,6.7751,-12.8574,-0.6752,1.3331,-0.5338,61
0.783,15,7.2703,1.0583,-7.5419,0.2463,0.9629,-1.0314,90,0.874,16,1.4982,10.2369,-13.6576,0.1819,0.6448,0.0855,61
0.834,16,6.3352,-0.144,-9.0398,0.265,1.3811,-1.3693,90,0.926,17,2.6478,7.5031,-12.8284,-0.207,-0.1962,0.2377,61
0.886,17,5.377,-3.3309,-12.3347,0.3792,1.6863,-1.5731,90,0.978,18,2.713,4.6105,-11.6857,-0.6144,-0.81,0.2096,61
0.938,18,5.1934,-0.3212,-6.4183,-0.0813,1.1784,-0.7913,90,1.03,19,3.1934,3.4756,-10.3387,-0.1279,-1.0073,0.0966,61
0.99,19,-1.1388,5.1175,-3.9094,0.6033,0.5574,-0.5441,90,1.082,20,2.9298,3.2717,-4.9379,0.25,-1.3994,0.1219,61
1.042,20,4.4346,3.3572,-5.9124,-0.2349,1.0298,-0.5976,90,1.133,21,7.2556,4.5359,-8.9997,-0.3302,-1.261,0.098,61
1.093,21,5.2163,-2.7868,-12.32,-0.4968,0.6824,-0.2429,90,1.185,22,9.9771,3.6889,-14.5495,-0.3473,-1.3339,-0.0821,61
1.145,22,9.0728,0.8917,-13.7817,0.314,-0.1754,0.452,90,1.237,23,12.399,3.7804,-12.6585,0.2047,-0.4589,-0.0202,61
1.197,23,10.295,1.7395,-12.0026,0.3251,-0.8014,1.0076,90,1.289,24,10.9228,2.6739,-14.4766,0.8225,-0.1995,-0.1389,61
1.249,24,7.5314,1.6909,-9.5515,-0.3658,-1.2583,1.4131,90,1.34,25,9.2108,1.4466,-13.1829,0.4663,-0.1639,-0.1755,61
1.301,25,6.5304,3.2184,-7.7477,-0.3682,-1.0192,1.6542,90,1.392,26,7.3063,2.5154,-10.2619,0.0608,0.5646,-0.2334,61
1.352,26,6.4652,-2.8881,-10.6944,-0.9439,-0.683,1.5642,90,1.444,27,6.4914,1.1985,-10.0152,-0.5606,1.097,-0.2282,61
1.404,27,9.9844,-4.148,-12.1415,-0.4262,-0.6913,0.9037,90,1.496,28,4.4221,1.3799,-13.1056,-1.0862,1.4856,0.1321,61
1.456,28,12.5528,-1.2981,-15.4726,-0.574,-0.2141,0.4993,90,1.548,29,4.0713,6.2992,-15.9238,-1.4503,0.5353,0.1343,61
1.508,29,12.4924,-3.4499,-14.5573,-0.7514,0.3218,0.0747,90,1.599,30,-2.5012,9.8896,-17.7611,-0.4209,1.0757,0.3396,61
1.56,30,7.9602,-3.3284,-14.3673,-0.0316,0.2746,-0.2749,90,1.651,31,3.2918,7.5856,-17.2967,0.1287,1.47,0.2423,61
1.611,31,7.3801,-0.352,-10.846,-0.0941,0.1557,-0.5396,90,1.703,32,7.1032,4.1072,-20.6051,0.5575,1.7579,-0.0641,61
1.663,32,6.1993,0.1254,-8.6536,-0.324,0.7835,-0.7686,90,1.755,33,6.6561,4.3206,-19.6157,1.0002,0.6162,-0.1155,61
1.715,33,6.8112,-1.6152,-9.7993,-0.1972,1.2502,-1.0548,90,1.807,34,5.3157,3.3052,-17.8448,0.8722,-0.2171,-0.2169,61
1.767,34,5.1122,-4.2452,-14.4244,0.5326,1.1554,-1.1934,90,1.858,35,5.0485,2.4581,-15.8716,1.3113,-0.8252,-0.4611,61
1.818,35,8.9969,0.6744,-7.9435,0.4668,0.3301,-0.3207,90,1.91,36,4.6209,1.745,-13.2967,1.465,-1.2691,-0.3652,61
1.87,36,11.8321,3.55,-12.3434,0.6916,0.0046,-0.0327,90,1.962,37,3.6338,0.4972,-7.8747,1.076,-1.387,-0.0378,61
1.922,37,12.6189,3.2973,-13.8196,0.1426,0.6618,-0.2868,90,2.014,38,7.7694,3.473,-13.7285,0.1082,-0.6652,-0.1846,61
1.974,38,14.4756,0.9647,-11.4892,-0.4487,1.1613,-0.7225,90,2.066,39,10.7878,3.2575,-16.878,0.2761,-0.6233,0.037,61
2.026,39,10.7915,1.4805,-12.7785,-0.9783,0.7264,0.0635,90,2.117,40,12.9907,1.5952,-14.037,0.5806,0.2194,0.1059,61
2.078,40,9.9863,-0.5289,-13.4828,-0.9594,-0.1432,0.6512,90,2.169,41,10.8805,3.206,-13.1537,0.0984,0.6772,0.1282,61
2.129,41,8.5361,-0.1319,-11.8399,-0.4392,-0.7779,0.9904,90,2.221,42,9.2673,3.1121,-9.737,0.0937,1.0549,0.044,61
2.181,42,6.3059,1.1548,-9.5017,-0.898,-0.9902,1.18,90,2.272,43,8.1428,2.4522,-9.4547,0.1567,1.4549,-0.0257,61
2.233,43,5.4051,4.7152,-6.9101,-1.3306,-0.6649,0.7919,90,2.324,44,7.0446,2.1928,-9.6497,-0.1355,1.7468,-0.1591,61
2.285,44,6.6447,4.5964,-8.1513,-0.2965,-0.5605,0.4348,90,2.376,45,5.6847,0.8689,-13.493,-0.2713,1.9017,-0.1366,61
2.336,45,10.1154,3.17,-9.8776,-0.844,-0.5662,0.3006,90,2.428,46,3.4768,-0.3239,-16.2743,-0.8751,1.2735,0.1924,61
2.388,46,11.9439,3.895,-9.9949,-1.2912,0.2569,-0.0808,90,2.48,47,2.5654,5.0558,-17.1489,-1.0936,0.5695,-0.0442,61
2.44,47,8.5758,1.336,-12.1065,-1.5127,0.846,-0.2225,90,2.531,48,-3.6003,8.5612,-16.868,-0.1837,0.9057,0.1206,61
2.492,48,8.237,1.771,-10.3833,-0.4275,0.389,-0.3226,90,2.583,49,2.4897,7.3207,-12.7177,0.3368,1.346,0.0304,61
2.544,49,7.4494,3.1945,-8.2908,-0.5526,0.7085,-0.4244,90,2.635,50,-3.6556,8.7443,-7.8559,0.9205,0.8407,0.5246,61
2.595,50,7.0228,0.6611,-8.8165,-0.857,1.1954,-0.351,90,2.687,51,-0.4087,8.1047,-7.9542,0.107,-0.0532,0.687,61
2.647,51,6.1109,-0.7272,-11.9267,0.051,1.5508,-0.5057,90,2.739,52,0.0934,5.0649,-7.7666,-0.2278,-0.7056,0.5248,61
2.699,52,2.725,-2.0468,-16.2636,0.2108,1.3236,-0.5916,90,2.79,53,0.8605,4.2038,-8.2,0.105,-1.1447,0.2412,61
2.751,53,7.2546,0.0202,-9.2859,0.8298,0.2926,0.0067,90,2.842,54,1.3366,2.6034,-7.6619,0.7513,-1.4253,-0.1071,61
2.803,54,-0.0294,-5.2223,-13.2932,0.632,0.8611,-0.0755,90,2.894,55,0.1933,-0.3806,-13.5732,1.223,-0.9433,-0.1543,61
2.855,55,5.2443,-2.2061,-13.3829,-0.0843,1.3069,-0.3435,90,2.946,56,5.2584,2.7824,-12.3763,0.2158,-0.9586,-0.0129,61
2.906,56,9.0932,-4.0838,-17.1523,-0.7166,1.5184,-0.8988,90,2.997,57,8.9551,1.5801,-16.0147,0.2139,-0.6643,-0.0336,61
2.958,57,5.7908,-5.4192,-16.8442,-1.0381,0.602,-0.2679,90,3.049,58,10.4632,3.6242,-13.6285,0.7773,0.1999,0.2256,61
3.01,58,6.2563,-3.0763,-15.2056,-0.5337,-0.234,0.3549,90,3.101,59,7.5679,3.8204,-11.2163,0.7928,0.5238,0.0028,61
3.062,59,6.0184,-1.7517,-12.9962,-0.505,-0.8442,0.8054,90,3.153,60,6.2309,4.4788,-8.3776,0.7475,0.9408,-0.2143,61
3.114,60,4.6711,0.4417,-11.3108,-0.7309,-1.2895,0.7115,90,3.205,61,5.6576,3.1728,-8.3626,-0.0401,1.3716,-0.1619,61
3.165,61,3.4527,2.2702,-8.4884,-0.5916,-1.32,0.1658,90,3.257,62,5.7722,2.6474,-11.4935,-0.7063,1.686,-0.0495,61
3.217,62,7.7857,-3.5802,-3.6307,0.2448,-0.6081,0.591,90,3.308,63,3.736,2.2152,-14.8344,-0.5841,1.5728,-0.0408,61
3.269,63,10.9481,-3.3595,-10.6547,0.0678,-0.873,0.0871,90,3.36,64,1.8724,1.1784,-15.2405,-1.1034,0.7818,0.3197,61
3.321,64,13.163,-1.2508,-11.0182,-0.4449,-0.0055,-0.5436,90,3.412,65,6.4838,4.8674,-14.6375,-1.4343,0.2521,-0.0532,61
3.373,65,9.9584,-2.372,-11.7685,-0.4664,0.6323,-0.4858,90,3.464,66,-0.7404,5.5835,-18.6643,-0.9693,0.869,0.0377,61
3.424,66,8.6867,-2.6376,-9.5432,-0.1575,0.8978,-0.3959,90,3.516,67,4.5769,4.9484,-15.5227,-0.0966,1.3192,-0.2423,61
3.476,67,7.6708,-1.6774,-8.9756,-0.3379,1.2398,-0.2798,90,3.567,68,1.2663,4.4389,-19.3103,0.6042,1.6477,-0.4127,61
3.528,68,6.0737,-0.8825,-9.6786,-0.9218,1.5832,0.2668,90,3.619,69,3.5469,5.4941,-17.3045,1.1156,0.5358,-0.2467,61
3.58,69,5.0135,0.3418,-11.3901,-1.348,1.8339,0.8591,90,3.671,70,3.946,2.153,-15.4511,0.9732,-0.2757,-0.0951,61
3.631,70,3.5512,1.4966,-15.3888,-0.3073,1.6349,0.6098,90,3.723,71,3.7356,0.0021,-13.6528,1.0326,-0.868,-0.1268,61
3.683,71,7.3121,3.249,-8.6473,0.3449,1.3943,0.677,90,3.774,72,4.2982,-0.5847,-11.5559,1.4283,-1.1575,-0.1364,61
3.735,72,5.5798,-0.1766,-10.2014,0.041,1.1193,0.4453,90,3.826,73,4.8779,-0.8271,-16.4152,0.3655,-0.4984,-0.2121,61
3.787,73,9.3381,0.5448,-8.6672,-0.1427,1.4833,-0.314,90,3.878,74,8.6774,0.2,-17.8022,0.6376,-0.46,-0.2969,61
3.839,74,9.5153,-4.8394,-14.3306,0.5724,0.4986,-0.8863,90,3.93,75,11.4505,0.697,-18.5384,0.4971,-0.3216,-0.0392,61
3.89,75,8.8751,-4.846,-14.8769,0.7567,-0.3095,-0.1526,90,3.982,76,10.8117,1.9757,-14.8551,0.9146,0.4503,0.246,61
3.942,76,7.4129,-2.2221,-12.1191,0.7445,-0.8993,0.309,90,4.033,77,5.4419,1.3335,-12.4325,0.579,0.8457,0.1671,61
3.994,77,6.8528,-1.5163,-10.8014,0.2917,-1.2291,0.5523,90,4.085,78,4.2064,1.0512,-8.9655,0.6383,1.0143,0.0757,61
4.046,78,5.6662,0.0258,-9.0913,-0.1123,-1.314,0.7231,90,4.137,79,3.823,1.9619,-8.4093,0.3959,1.4252,-0.1081,61
4.098,79,4.2176,1.4449,-6.651,-0.6098,-1.0212,0.724,90,4.189,80,4.6125,1.6508,-10.0001,-0.2218,1.7252,-0.5009,61
4.15,80,5.4781,-3.0735,-12.859,0.0807,-0.935,0.7349,90,4.24,81,4.0221,0.4856,-13.9327,-0.3717,1.8398,-0.5471,61
4.201,81,9.2639,-2.5895,-15.4258,-0.244,-1.0834,0.3982,90,4.292,82,3.9725,-1.3332,-18.1499,-0.9484,0.8683,-0.1355,61
4.253,82,12.027,-1.0419,-16.121,-0.2001,-0.5923,-0.0576,90,4.344,83,8.0166,-2.0481,-18.0838,-0.6578,0.1434,-0.1188,61
